FBgn	ME_type	geneName
FBgn0028692	Active	Rpn2
FBgn0028693	Active	Rpn12
FBgn0028694	Active	Rpn11
FBgn0028695	Active	Rpn1
FBgn0028697	Active	RpL15
FBgn0028699	Inactive	Rh50
FBgn0028700	Active	RfC38
FBgn0028703	Active	Nhe3
FBgn0028704	PcG	Nckx30C
FBgn0028707	Active	Mt2
FBgn0028708	Active	Mst85C
FBgn0028717	Active	Lnk
FBgn0028734	Active	Fmr1
FBgn0028737	Active	Ef1beta
FBgn0028740	Active	CG6362
FBgn0028743	Inactive	Dhit
FBgn0028744	Active	CG5033
FBgn0028746	Active	CG18508
FBgn0028833	Active	Dak1
FBgn0028836	Active	CSN7
FBgn0028837	Active	CSN6
FBgn0028841	Inactive	jhamt
FBgn0028852	Inactive	CG15262
FBgn0028862	Inactive	dao
FBgn0028879	Inactive	CG15270
FBgn0028886	Active	CG15279
FBgn0028888	Inactive	CG4168
FBgn0028894	Active	CG5869
FBgn0028895	Active	CG17328
FBgn0028896	Active	CG17329
FBgn0028897	Active	CG4935
FBgn0028899	Inactive	CG31817
FBgn0028916	Active	CG33090
FBgn0028919	Active	CG16865
FBgn0028920	Active	CG8997
FBgn0028926	Active	NC2beta
FBgn0028931	Active	CG16863
FBgn0028932	Active	CG16890
FBgn0028936	Active	NimB5
FBgn0028938	Inactive	CG16886
FBgn0028939	Inactive	NimC2
FBgn0028940	Active	Cyp28a5
FBgn0028941	Active	CG16853
FBgn0028943	Active	CG15638
FBgn0028950	Active	CG15255
FBgn0028952	Active	Kebab
FBgn0028953	Active	CG14478
FBgn0028956	Active	mthl3
FBgn0028965	Active	A16
FBgn0028968	Active	gammaCOP
FBgn0028969	Active	deltaCOP
FBgn0028970	Active	betaggt-II
FBgn0028974	Active	xmas-2
FBgn0028978	Active	trbl
FBgn0028980	Active	tan
FBgn0028982	Active	Spt6
FBgn0028983	Active	Spn55B
FBgn0028984	Active	Spn88Ea
FBgn0028986	Inactive	Spn38F
FBgn0028988	Active	Spn42Dd
FBgn0028990	Active	Spn27A
FBgn0028992	Active	sds22
FBgn0028997	Active	nmdyn-D7
FBgn0029002	Inactive	miple2
FBgn0029003	PcG	mab-21
FBgn0029006	Active	Smurf
FBgn0029067	Active	Dd
FBgn0029079	Active	icln
FBgn0029082	Inactive	hbs
FBgn0029084	Inactive	gom
FBgn0029088	Active	disp
FBgn0029091	Inactive	CS-2
FBgn0029092	Active	ced-6
FBgn0029093	Active	cathD
FBgn0029094	Active	asf1
FBgn0029095	Active	aru
FBgn0029105	Inactive	alpha-catenin-related
FBgn0029113	Active	Uba2
FBgn0029114	Active	Tollo
FBgn0029117	Active	Surf1
FBgn0029118	Active	Sucb
FBgn0029121	Active	Sras
FBgn0029123	PcG	SoxN
FBgn0029128	Inactive	tyn
FBgn0029131	Active	Debcl
FBgn0029133	Active	REG
FBgn0029134	Active	Prosbeta5
FBgn0029137	Active	Patsas
FBgn0029147	Active	NtR
FBgn0029148	Active	NHP2
FBgn0029152	Active	Mkrn1
FBgn0029155	Active	Men-b
FBgn0029157	Active	ssh
FBgn0029158	Active	Las
FBgn0029161	Active	slmo
FBgn0029167	Inactive	Hml
FBgn0029170	PcG	TwdlT
FBgn0029172	PcG	Fad2
FBgn0029173	Active	fu2
FBgn0029174	Active	FKBP59
FBgn0029175	Active	Ext2
FBgn0029176	Active	Ef1gamma
FBgn0029502	Active	COQ7
FBgn0029503	Active	CHORD
FBgn0029504	Active	CHES-1-like
FBgn0029506	Active	Tsp42Ee
FBgn0029507	Active	Tsp42Ed
FBgn0029508	Active	Tsp42Ea
FBgn0029512	Active	Aos1
FBgn0029514	Active	CG9166
FBgn0029521	Active	Or1a
FBgn0029524	Active	CG3176
FBgn0029525	Active	CG18273
FBgn0029529	Active	CG13365
FBgn0029531	Active	CG13362
FBgn0029532	Active	CG13361
FBgn0029535	Inactive	CG14635
FBgn0029552	Inactive	CG14631
FBgn0029573	Active	CG14770
FBgn0029580	Active	CG14778
FBgn0029584	Active	CG11509
FBgn0029587	Active	CG14797
FBgn0029588	Active	CG14798
FBgn0029589	Active	CG14810
FBgn0029590	Inactive	CG14811
FBgn0029594	Active	CG14806
FBgn0029596	Active	CG14054
FBgn0029603	Active	CG14053
FBgn0029606	Active	CG14052
FBgn0029608	Active	CG3091
FBgn0029629	Active	CG8636
FBgn0029639	Inactive	CG14419
FBgn0029642	Inactive	CG3592
FBgn0029643	Inactive	CG14420
FBgn0029644	Inactive	CG14421
FBgn0029645	PcG	CG14422
FBgn0029646	Inactive	CG14423
FBgn0029647	Inactive	CG17959
FBgn0029648	Active	CG3603
FBgn0029649	PcG	CG4116
FBgn0029656	Inactive	CG10793
FBgn0029657	Active	CG12535
FBgn0029658	Active	CG14269
FBgn0029659	Active	CG16782
FBgn0029660	Active	CG10801
FBgn0029661	Active	CG16781
FBgn0029662	Active	CG12206
FBgn0029663	Active	CG10804
FBgn0029664	Active	CG10802
FBgn0029665	Active	CG14270
FBgn0029666	Active	CG10803
FBgn0029667	Active	Gas8
FBgn0029669	Active	CG13021
FBgn0029672	Active	CG2875
FBgn0029676	Active	HIP-R
FBgn0029681	Inactive	CG15239
FBgn0029685	Active	CG2938
FBgn0029686	Active	CG2941
FBgn0029687	Active	Vap-33A
FBgn0029688	Active	lva
FBgn0029689	Active	CG6428
FBgn0029693	Active	CG6379
FBgn0029694	Active	CG15375
FBgn0029696	Inactive	CG15571
FBgn0029700	Inactive	CG15576
FBgn0029701	Inactive	CG12691
FBgn0029702	PcG	CG15572
FBgn0029703	Inactive	CG12692
FBgn0029706	Active	CG3626
FBgn0029707	PcG	CG12688
FBgn0029708	Inactive	CG3556
FBgn0029709	Active	CHOp24
FBgn0029710	Active	CG3568
FBgn0029711	Active	Usf
FBgn0029712	Active	CG15912
FBgn0029713	Active	CG11436
FBgn0029714	Active	CG3527
FBgn0029715	Active	CG11444
FBgn0029716	PcG	CG3546
FBgn0029718	Active	mRpL30
FBgn0029719	Active	CG15473
FBgn0029720	Inactive	CG3009
FBgn0029722	Active	CG7024
FBgn0029723	PcG	Proc-R
FBgn0029728	Inactive	CG2861
FBgn0029729	Inactive	CG12682
FBgn0029733	Inactive	CG6927
FBgn0029736	Active	CG4041
FBgn0029740	Inactive	CG12680
FBgn0029745	Inactive	Rpn13R
FBgn0029747	Inactive	CG5062
FBgn0029750	Inactive	CG3323
FBgn0029751	Active	CG17764
FBgn0029752	Active	TrxT
FBgn0029753	Inactive	CG4198
FBgn0029754	Inactive	CG15930
FBgn0029755	Active	Sas10
FBgn0029756	Active	CG3309
FBgn0029761	Inactive	SK
FBgn0029762	Active	NAAT1
FBgn0029763	Active	CG4165
FBgn0029765	Active	CG16756
FBgn0029766	Active	CG15784
FBgn0029768	Inactive	SPR
FBgn0029769	Inactive	frma
FBgn0029771	Active	CG12730
FBgn0029778	Active	RhoGAP5A
FBgn0029783	Active	Sirt4
FBgn0029785	Active	RpL35
FBgn0029789	Active	CG3160
FBgn0029791	Inactive	CG4096
FBgn0029795	Active	CG15773
FBgn0029798	Active	CG4078
FBgn0029799	Active	CG15772
FBgn0029800	Active	lin-52
FBgn0029801	Active	CG15771
FBgn0029804	Active	CG3097
FBgn0029807	Active	CG3108
FBgn0029809	Active	CG15767
FBgn0029810	Active	CG12239
FBgn0029813	Active	CG15766
FBgn0029814	Inactive	CG15765
FBgn0029818	Active	GAA1
FBgn0029819	Active	CG3016
FBgn0029820	Active	CG16721
FBgn0029821	Active	CG4020
FBgn0029822	Active	CG12236
FBgn0029823	Active	CG3011
FBgn0029824	Active	CG3726
FBgn0029825	Active	CG12728
FBgn0029826	Active	CG6041
FBgn0029828	Inactive	CG6067
FBgn0029830	PcG	Grip
FBgn0029831	PcG	CG5966
FBgn0029833	Active	CG5941
FBgn0029834	Inactive	CG5937
FBgn0029835	Inactive	CG5921
FBgn0029836	Inactive	CG5928
FBgn0029837	Inactive	Tsp5D
FBgn0029838	Active	CG4666
FBgn0029840	Active	raptor
FBgn0029843	Inactive	Nep1
FBgn0029848	Inactive	Btd
FBgn0029849	Active	Efr
FBgn0029851	Active	CG14445
FBgn0029853	Active	CG3781
FBgn0029854	Active	CG3566
FBgn0029856	Active	CG11700
FBgn0029857	Active	wuho
FBgn0029858	Active	CG15896
FBgn0029859	Active	CG15892
FBgn0029860	Active	CG15891
FBgn0029861	Active	CG3815
FBgn0029863	Inactive	CG3823
FBgn0029864	Inactive	CG15894
FBgn0029866	Inactive	CG3842
FBgn0029867	Active	CG3847
FBgn0029868	Active	CG3446
FBgn0029870	Active	Marf
FBgn0029873	Active	CG3918
FBgn0029874	Active	CG3342
FBgn0029877	Active	CG17717
FBgn0029878	Active	Pat1
FBgn0029879	Active	APC7
FBgn0029880	Active	CG14443
FBgn0029881	Active	pigs
FBgn0029882	Active	CG3226
FBgn0029885	Active	CG3224
FBgn0029887	Active	CG3198
FBgn0029888	Active	CG3192
FBgn0029890	Active	CG4095
FBgn0029891	Active	Pink1
FBgn0029892	Active	CG3184
FBgn0029893	Active	CG14442
FBgn0029894	Active	CG14440
FBgn0029895	Inactive	CG14441
FBgn0029896	Active	CG3168
FBgn0029897	Active	RpL17
FBgn0029898	Inactive	CG14439
FBgn0029899	Active	CG14438
FBgn0029903	Active	pod1
FBgn0029905	Active	Nf-YC
FBgn0029906	Active	xit
FBgn0029907	Active	Atx-1
FBgn0029909	Active	CG12796
FBgn0029911	Active	CG14435
FBgn0029912	Active	CG4557
FBgn0029913	Active	Cht11
FBgn0029914	Active	CG4558
FBgn0029915	Active	CG14434
FBgn0029922	Inactive	CG14431
FBgn0029924	Active	CG4586
FBgn0029925	Active	CG3040
FBgn0029928	Active	CG3032
FBgn0029929	Active	CG4593
FBgn0029930	PcG	CG12541
FBgn0029932	Inactive	CG4607
FBgn0029935	Active	CG4615
FBgn0029936	Active	CG4617
FBgn0029937	Active	CG8300
FBgn0029939	PcG	CG9650
FBgn0029941	Active	CG1677
FBgn0029942	Active	CG2059
FBgn0029943	Active	Atg5
FBgn0029944	Active	Dok
FBgn0029945	Active	CG18155
FBgn0029946	Inactive	CG15034
FBgn0029949	Inactive	CG15035
FBgn0029950	Inactive	CG9657
FBgn0029955	Active	CG15478
FBgn0029957	Active	CG12155
FBgn0029958	Active	Pdp
FBgn0029959	Active	Rab39
FBgn0029965	Inactive	Ir7b
FBgn0029966	Inactive	Ir7c
FBgn0029968	Active	Ir7g
FBgn0029969	Active	CG10932
FBgn0029970	Active	Nek2
FBgn0029974	Active	dpr14
FBgn0029975	Active	CG1444
FBgn0029976	Active	snz
FBgn0029977	Active	hdm
FBgn0029979	Active	CG10777
FBgn0029980	Active	CG10778
FBgn0029986	Active	CG15332
FBgn0029987	Active	CG15330
FBgn0029989	Inactive	CG15333
FBgn0029990	Active	CG2233
FBgn0029992	Active	Upf2
FBgn0029993	Active	CG1571
FBgn0029994	Active	CG2254
FBgn0029996	Active	UbcE2H
FBgn0029997	Active	CG2258
FBgn0029999	Active	CG1575
FBgn0030000	Active	CG2260
FBgn0030001	Active	cyr
FBgn0030003	Active	CG2116
FBgn0030004	Active	CG10958
FBgn0030005	Active	CG2120
FBgn0030006	Active	CG17982
FBgn0030007	Active	CG2263
FBgn0030008	Active	CG2129
FBgn0030009	Active	CG15336
FBgn0030010	Active	CG10959
FBgn0030011	Active	Gbeta5
FBgn0030012	Active	CG18262
FBgn0030013	Active	GIIIspla2
FBgn0030016	Active	Or7a
FBgn0030017	Active	CG2278
FBgn0030018	Active	slpr
FBgn0030025	Active	CG2147
FBgn0030026	Active	sni
FBgn0030027	Inactive	CG1632
FBgn0030028	Inactive	Corp
FBgn0030029	Active	CG15343
FBgn0030030	Active	CG1636
FBgn0030033	Inactive	CG1387
FBgn0030034	Active	CG10555
FBgn0030035	Active	CG11190
FBgn0030037	Active	CG12125
FBgn0030038	Active	CG1440
FBgn0030039	Active	CG12123
FBgn0030040	Inactive	CG15347
FBgn0030041	Inactive	CG12116
FBgn0030048	Active	CG12112
FBgn0030049	Active	Trf4-1
FBgn0030050	Active	CG12111
FBgn0030051	Active	spirit
FBgn0030052	Active	CG12065
FBgn0030053	Active	CG12081
FBgn0030054	Active	Caf1-180
FBgn0030055	Active	CG12772
FBgn0030056	Active	CG11284
FBgn0030057	Active	Ppt1
FBgn0030060	Active	CG2004
FBgn0030061	Active	CG1785
FBgn0030063	Active	CG1789
FBgn0030065	Active	CG12075
FBgn0030066	Active	CG1885
FBgn0030067	Active	Rbm13
FBgn0030071	Active	CG12661
FBgn0030073	Active	CG10962
FBgn0030074	Inactive	CG12662
FBgn0030077	Active	CG15365
FBgn0030078	Active	CG10970
FBgn0030081	Active	CG7246
FBgn0030082	Active	HP1b
FBgn0030085	Active	CG6999
FBgn0030086	Active	CG7033
FBgn0030087	Active	CG7766
FBgn0030088	Active	Arfrp1
FBgn0030089	Active	AP-1gamma
FBgn0030090	Active	fend
FBgn0030091	Active	CG7065
FBgn0030092	Active	fh
FBgn0030093	Active	dalao
FBgn0030096	Active	Zpr1
FBgn0030099	Active	CG12056
FBgn0030100	Active	CG12106
FBgn0030101	Active	CG12118
FBgn0030102	Active	CG12119
FBgn0030105	Inactive	CG15369
FBgn0030107	Active	CG15370
FBgn0030108	Active	Gr8a
FBgn0030109	Active	CG12121
FBgn0030114	Active	CG17754
FBgn0030120	Active	CG17440
FBgn0030121	Active	Cfp1
FBgn0030122	Active	CG16892
FBgn0030136	Active	RpS28b
FBgn0030137	Active	CG15317
FBgn0030141	Active	Gga
FBgn0030148	Active	CG3106
FBgn0030151	Active	CG1354
FBgn0030156	Active	CG15247
FBgn0030157	Inactive	CG1468
FBgn0030158	Active	CG9686
FBgn0030159	Inactive	CG9689
FBgn0030160	Inactive	CG9691
FBgn0030161	PcG	CG15249
FBgn0030163	Inactive	CG1791
FBgn0030164	Inactive	CG1889
FBgn0030170	Active	CG2990
FBgn0030174	Active	CG15312
FBgn0030177	Active	CG2972
FBgn0030178	Active	CG2974
FBgn0030181	Inactive	CG12645
FBgn0030183	Active	CG15309
FBgn0030187	Active	Ipod
FBgn0030189	Active	CG2909
FBgn0030191	Inactive	CG15306
FBgn0030195	Active	CG2898
FBgn0030196	Active	Psf3
FBgn0030204	Inactive	Or9a
FBgn0030206	Active	CG2889
FBgn0030207	Active	CG2887
FBgn0030208	Active	PPP4R2r
FBgn0030215	Inactive	CG15296
FBgn0030217	Active	CG2124
FBgn0030218	Active	CG1628
FBgn0030223	Inactive	CG2111
FBgn0030228	Active	BTBD9
FBgn0030230	Active	Rph
FBgn0030234	Active	CG15211
FBgn0030237	Active	CG15209
FBgn0030239	Active	CG17333
FBgn0030240	Active	CG2202
FBgn0030241	Active	feo
FBgn0030242	Active	sofe
FBgn0030243	Active	CG2186
FBgn0030244	Active	CG2157
FBgn0030245	Active	CG1637
FBgn0030246	Active	CG1582
FBgn0030247	Inactive	CG15208
FBgn0030251	Inactive	CG2145
FBgn0030257	Inactive	CG11160
FBgn0030260	Inactive	CG1537
FBgn0030261	Inactive	CG15203
FBgn0030266	Active	CG11122
FBgn0030268	Active	Klp10A
FBgn0030269	Active	CG18292
FBgn0030270	Active	CG15199
FBgn0030271	Active	CG15202
FBgn0030272	Active	CG15201
FBgn0030274	Active	Lint-1
FBgn0030276	Active	Dlic
FBgn0030286	Active	CG1657
FBgn0030289	Active	CG1597
FBgn0030290	Active	CG11756
FBgn0030291	Active	CG1738
FBgn0030292	Active	CG11752
FBgn0030293	Active	CG1737
FBgn0030294	Active	Pa1
FBgn0030300	Active	Sk1
FBgn0030301	Active	HP5
FBgn0030304	Inactive	Cyp4g15
FBgn0030305	Active	CG1749
FBgn0030306	Active	Spase25
FBgn0030307	Active	CG33235
FBgn0030309	Active	CG1572
FBgn0030310	Active	PGRP-SA
FBgn0030314	Active	CG11696
FBgn0030316	Active	CG11695
FBgn0030317	Active	CG1561
FBgn0030318	Active	rho-4
FBgn0030319	Active	CG2533
FBgn0030320	Active	CG2247
FBgn0030321	Active	CG1703
FBgn0030323	Active	CG2371
FBgn0030326	Active	CG2444
FBgn0030327	Active	FucT6
FBgn0030328	Active	Amun
FBgn0030329	Active	prtp
FBgn0030330	Active	Tango10
FBgn0030331	Active	CG15221
FBgn0030332	Active	CG9360
FBgn0030334	Active	Karl
FBgn0030336	Active	CG1578
FBgn0030339	Active	Cyp28c1
FBgn0030341	Active	p24-1
FBgn0030342	Active	CG10347
FBgn0030343	Active	ATP7
FBgn0030344	Active	CG2025
FBgn0030345	Active	CG1847
FBgn0030346	Active	CG11802
FBgn0030347	Active	CG15739
FBgn0030348	Active	CG10352
FBgn0030349	Active	CG10353
FBgn0030350	Active	SelG
FBgn0030351	Active	CG1840
FBgn0030352	Active	sicily
FBgn0030354	Active	Upf1
FBgn0030357	Active	Sclp
FBgn0030358	Active	CG10362
FBgn0030359	Active	CG18130
FBgn0030360	Active	CG1806
FBgn0030361	Active	CG1492
FBgn0030362	Active	regucalcin
FBgn0030364	Active	CG15735
FBgn0030365	Active	Tango4
FBgn0030366	Active	Usp7
FBgn0030367	Active	Cyp311a1
FBgn0030369	Inactive	Cyp318a1
FBgn0030370	Inactive	Uch-L5R
FBgn0030373	Active	CG12721
FBgn0030374	Inactive	CG15734
FBgn0030376	Inactive	CG2750
FBgn0030377	Inactive	CG1924
FBgn0030389	Inactive	CG15927
FBgn0030390	Active	CG15731
FBgn0030391	Active	Rab40
FBgn0030394	Inactive	Cpr11A
FBgn0030395	Inactive	Mks1
FBgn0030396	Inactive	CG2556
FBgn0030398	Inactive	Cpr11B
FBgn0030400	Active	CG11138
FBgn0030403	Active	CG1824
FBgn0030406	Active	CG1463
FBgn0030407	Active	CG2543
FBgn0030409	Active	CG15728
FBgn0030410	Active	Aven
FBgn0030411	Active	CG2540
FBgn0030412	Active	Tomosyn
FBgn0030417	Active	CG15725
FBgn0030418	Active	CG4004
FBgn0030420	Active	CG12717
FBgn0030421	PcG	CG3812
FBgn0030425	Inactive	CG3775
FBgn0030431	Active	CG4407
FBgn0030432	Active	CG4404
FBgn0030433	Active	mRpL49
FBgn0030434	Active	Brms1
FBgn0030435	Active	CG4645
FBgn0030437	Inactive	hec
FBgn0030438	Inactive	CG15721
FBgn0030447	Active	CG2200
FBgn0030451	Active	CG15717
FBgn0030452	Active	MFS10
FBgn0030455	Active	CG4318
FBgn0030456	Active	CG4332
FBgn0030457	Active	CG12096
FBgn0030459	Active	CG12723
FBgn0030460	Active	CG2453
FBgn0030465	Active	CG15743
FBgn0030466	Active	CG15744
FBgn0030467	Active	CG1764
FBgn0030468	Active	CG1622
FBgn0030474	Active	CG15747
FBgn0030477	Active	dmrt11E
FBgn0030478	Active	CG1640
FBgn0030479	Active	Rbp1-like
FBgn0030480	Active	Tim9a
FBgn0030481	Active	CG1662
FBgn0030482	Active	CG1673
FBgn0030483	Inactive	CG12725
FBgn0030484	Active	GstT4
FBgn0030485	Active	CG1998
FBgn0030486	Active	Set2
FBgn0030492	Inactive	CG15754
FBgn0030499	Active	CG11178
FBgn0030500	Active	Ndc80
FBgn0030501	Active	BthD
FBgn0030502	Active	tth
FBgn0030503	Active	Tango2
FBgn0030504	Active	CG2691
FBgn0030505	Active	NFAT
FBgn0030506	Active	Lig4
FBgn0030507	Active	CG11164
FBgn0030508	Active	CG15760
FBgn0030510	Active	CG12177
FBgn0030511	Active	CG11158
FBgn0030512	Active	CG9940
FBgn0030514	Active	CG9941
FBgn0030518	Active	CG11134
FBgn0030519	Active	CG11151
FBgn0030520	Active	Pdcd4
FBgn0030521	Active	CtsB1
FBgn0030522	Active	CG11103
FBgn0030524	Active	CG10993
FBgn0030525	Active	CG10996
FBgn0030528	Active	CG11095
FBgn0030529	Active	Clic
FBgn0030530	Active	jub
FBgn0030538	Inactive	betaNACtes1
FBgn0030539	Inactive	CG1368
FBgn0030544	Inactive	CG13403
FBgn0030545	Active	CG11590
FBgn0030551	Active	CG11674
FBgn0030552	Active	mRpL38
FBgn0030554	Active	CG1434
FBgn0030555	Active	Fbxl4
FBgn0030556	Active	mRNA-cap
FBgn0030558	Active	CG1461
FBgn0030562	Inactive	CG9400
FBgn0030563	Inactive	betaNACtes2
FBgn0030566	Inactive	betaNACtes4
FBgn0030569	Inactive	CG9411
FBgn0030571	Active	CG14414
FBgn0030572	Active	mRpS25
FBgn0030573	Active	nmdyn-D6
FBgn0030574	Inactive	CG9413
FBgn0030575	Inactive	CG5321
FBgn0030576	Active	CG15890
FBgn0030581	Active	CG14408
FBgn0030582	Active	CG14411
FBgn0030583	Active	CG14410
FBgn0030584	Active	CG14407
FBgn0030586	Active	CG12539
FBgn0030587	Active	CG9522
FBgn0030588	Active	CG9521
FBgn0030589	Active	CG9519
FBgn0030590	Active	CG9518
FBgn0030592	Inactive	CG9514
FBgn0030593	Inactive	CG9512
FBgn0030594	Active	CG9509
FBgn0030595	Inactive	CG14406
FBgn0030596	Active	CG12398
FBgn0030597	Active	Eo
FBgn0030598	Active	CG9503
FBgn0030599	Inactive	CG9030
FBgn0030600	Inactive	hiw
FBgn0030603	Active	CG5541
FBgn0030605	Active	CG5548
FBgn0030607	Active	dob
FBgn0030608	Inactive	Lsd-2
FBgn0030610	Active	CG9065
FBgn0030611	Active	CG15027
FBgn0030612	Active	CG5599
FBgn0030613	Inactive	Rab3-GEF
FBgn0030615	Active	Cyp4s3
FBgn0030616	Active	RpL37a
FBgn0030617	Inactive	CG9095
FBgn0030625	Active	CG5877
FBgn0030628	Active	CG9114
FBgn0030629	Active	CG9123
FBgn0030630	Active	CG12608
FBgn0030631	Active	CG6227
FBgn0030634	Inactive	CG9164
FBgn0030638	Active	CG11655
FBgn0030640	Active	CG6294
FBgn0030641	Active	CG6299
FBgn0030642	Active	CG15642
FBgn0030643	Active	CG15641
FBgn0030645	Active	CG6308
FBgn0030646	Active	CG9203
FBgn0030647	Active	CG6324
FBgn0030648	Active	CG6340
FBgn0030653	Active	CG7860
FBgn0030654	Active	CG15643
FBgn0030655	Active	CG9213
FBgn0030657	Active	cerv
FBgn0030658	Active	CG7872
FBgn0030659	Active	CG9215
FBgn0030660	Active	CG8097
FBgn0030661	Active	CG8105
FBgn0030662	Active	CG9220
FBgn0030665	Active	CG15646
FBgn0030666	Active	CG12708
FBgn0030667	Active	CG15599
FBgn0030668	Active	CG8128
FBgn0030669	Active	CG9240
FBgn0030670	Active	Pis
FBgn0030671	Active	CG8134
FBgn0030672	Active	CG9281
FBgn0030673	Active	CG15601
FBgn0030674	Active	CG8184
FBgn0030675	Active	CG8191
FBgn0030676	Active	CG12379
FBgn0030678	Active	CG11679
FBgn0030679	Active	CG8206
FBgn0030680	Active	CG8944
FBgn0030683	Active	CG8239
FBgn0030684	Active	CG8260
FBgn0030685	Active	Graf
FBgn0030686	Active	mRpL3
FBgn0030687	Active	CG17209
FBgn0030688	Active	CG8952
FBgn0030691	Active	Efhc1.1
FBgn0030692	Active	mRpS30
FBgn0030693	Active	CG8974
FBgn0030694	Active	CG15602
FBgn0030695	Inactive	PGRP-LE
FBgn0030696	Active	CG8509
FBgn0030697	Active	CG8565
FBgn0030699	Active	CG8578
FBgn0030700	Active	CG15914
FBgn0030701	Active	CG16952
FBgn0030703	Active	MSBP
FBgn0030704	Active	CG15916
FBgn0030706	Active	CG8909
FBgn0030707	Active	CG8916
FBgn0030710	Active	CG8924
FBgn0030711	Active	Rrp47
FBgn0030716	Active	CG9170
FBgn0030717	Active	CG8931
FBgn0030718	Active	CG9172
FBgn0030719	Active	eIF5
FBgn0030720	Active	CG8939
FBgn0030722	Active	CG12395
FBgn0030723	Active	dpr18
FBgn0030724	Active	Nipsnap
FBgn0030725	Active	CG8958
FBgn0030729	Active	CG12507
FBgn0030731	Active	Mfe2
FBgn0030734	Active	CG9911
FBgn0030735	Active	CG3632
FBgn0030738	Active	CG9915
FBgn0030739	Active	CG13957
FBgn0030740	Active	CG9917
FBgn0030742	Active	CG9919
FBgn0030743	Active	CG9921
FBgn0030744	Active	CG9992
FBgn0030745	Active	CG4239
FBgn0030746	Active	CG9981
FBgn0030747	Active	CG4301
FBgn0030748	Active	Traf-like
FBgn0030749	Active	AnxB11
FBgn0030752	Active	CG9947
FBgn0030753	Active	rngo
FBgn0030756	Active	CG9903
FBgn0030757	Active	CG9902
FBgn0030758	Active	CanA-14F
FBgn0030759	Active	CG13014
FBgn0030761	Active	CG9784
FBgn0030763	Active	CG9782
FBgn0030764	Active	CG9777
FBgn0030766	Active	mthl1
FBgn0030768	Active	CG9723
FBgn0030769	Active	CG13012
FBgn0030770	Active	CG13010
FBgn0030774	Inactive	spheroide
FBgn0030775	Inactive	CG9673
FBgn0030776	Inactive	CG4653
FBgn0030777	Inactive	CG9672
FBgn0030778	Inactive	CG4678
FBgn0030780	Inactive	CG13008
FBgn0030786	Active	mRpL22
FBgn0030787	Active	CG9609
FBgn0030788	Active	Sap30
FBgn0030789	Active	Rrp45
FBgn0030790	Active	CG4768
FBgn0030791	Active	CG9132
FBgn0030792	Active	CG4789
FBgn0030793	Active	CG9125
FBgn0030794	Active	CG13005
FBgn0030796	Active	CG4829
FBgn0030797	Active	CG13004
FBgn0030798	PcG	CG13003
FBgn0030799	Active	CG4872
FBgn0030800	Active	CG9104
FBgn0030801	Active	Rcp
FBgn0030802	Active	CG9099
FBgn0030803	Active	CG4880
FBgn0030804	Active	CG13002
FBgn0030805	Active	wus
FBgn0030806	Active	CG13001
FBgn0030807	Active	CG13000
FBgn0030808	Active	RhoGAP15B
FBgn0030809	Active	CG9086
FBgn0030812	Active	CG8949
FBgn0030813	Active	CG4949
FBgn0030814	Active	CG4955
FBgn0030815	Inactive	CG8945
FBgn0030816	Inactive	CG16700
FBgn0030817	Inactive	CG4991
FBgn0030823	Active	CG8918
FBgn0030828	Inactive	CG5162
FBgn0030829	Inactive	CG12998
FBgn0030833	Active	CG8915
FBgn0030834	Active	CG8675
FBgn0030837	Active	CG8661
FBgn0030838	Active	CG5445
FBgn0030839	Active	CG5613
FBgn0030841	Inactive	CG8568
FBgn0030846	Inactive	CG12992
FBgn0030847	Inactive	CG12991
FBgn0030850	Active	stas
FBgn0030851	Active	CG8326
FBgn0030852	Active	CG8316
FBgn0030853	Active	CG5703
FBgn0030854	Active	CG8289
FBgn0030855	Active	CG5800
FBgn0030858	Active	IntS2
FBgn0030859	Active	CG12990
FBgn0030863	Active	CG8188
FBgn0030864	Active	CG8173
FBgn0030869	Active	Socs16D
FBgn0030870	Inactive	CG6398
FBgn0030871	Active	CG8142
FBgn0030872	Active	Ucp4A
FBgn0030873	Active	CG15814
FBgn0030874	Active	CG6506
FBgn0030876	Active	CG6762
FBgn0030877	Active	Arp8
FBgn0030878	Active	CG6769
FBgn0030881	Active	CG12985
FBgn0030883	Active	CG7772
FBgn0030884	Inactive	CG6847
FBgn0030887	Inactive	CG6867
FBgn0030890	Active	CG7536
FBgn0030891	Active	dik
FBgn0030892	Active	CG7206
FBgn0030893	Active	RhoGAP16F
FBgn0030894	Active	CG7192
FBgn0030895	Active	CG7135
FBgn0030897	Inactive	Frq1
FBgn0030899	Inactive	Her
FBgn0030900	Inactive	Him
FBgn0030904	PcG	upd2
FBgn0030912	PcG	CG6023
FBgn0030913	Inactive	CG6123
FBgn0030914	Inactive	CG6106
FBgn0030915	Active	CG6179
FBgn0030918	Inactive	CG15056
FBgn0030925	Active	Hayan
FBgn0030926	Inactive	psh
FBgn0030927	Inactive	CG15046
FBgn0030928	Active	CG15044
FBgn0030929	Active	CG15043
FBgn0030930	Active	GalNAc-T2
FBgn0030931	Active	Rad51D
FBgn0030932	Inactive	Ggt-1
FBgn0030933	Active	CG6470
FBgn0030936	Active	CG6481
FBgn0030937	Inactive	CG15042
FBgn0030938	Inactive	CG15047
